what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384697601783
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384697602363
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384697602549
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384697602552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384697672906
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384697673450
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384697673607
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384697673610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384697698589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384697699489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384697701664
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384697702204
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384697702370
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384697702373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384697731698
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384697732238
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384697732384
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384697732387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384697740925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384697741101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384697744001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384697746468
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384697747014
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384697747154
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384697747157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384697793341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384697793517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384697815991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384697816151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384697819341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384697819572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384697831152
