what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699743615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384699753309
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699753857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699755023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699758367
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384699758964
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384699759137
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384699759140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384699786525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699787074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699788032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699788752
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384699789293
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384699789484
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384699789487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699803818
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384699804358
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384699804541
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384699804544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384699810977
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699812231
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384699814617
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699818686
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384699826914
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699832315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384699834638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384699834813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699837056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699839039
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699841041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699843135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699844378
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384699844967
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384699845134
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384699845137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699851211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699859468
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384699866134
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384699866218
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699867901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699880836
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384699881379
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384699881561
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384699881564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699888319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699906997
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1384699920275
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384699921067
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384699921120
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699921514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699922628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699922707
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699924037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699927598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699967008
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384699967016
