what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384698497280
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384698497374
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384698498326
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1384698503418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698504262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698505582
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384698506168
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384698506330
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384698506333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698512334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698523654
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384698525819
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384698525907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698527200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698527351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698530385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698540583
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384698540596
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384698577395
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384698577477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384698581823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698621485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698621988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698657212
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698658305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698663587
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384698664153
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384698664386
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384698664389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698668269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698717709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698719824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698722909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698725216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698727308
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384698727862
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384698728067
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384698728070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698752209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698767198
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384698767741
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384698767910
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384698767913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698832653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698832916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698851549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698851988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698860125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384698863168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698868554
error,log,,,"CompilationUnitMetrics::addInnerClasses",1384698869094
error,log,,,"Can't initialize AbstractMetricSource for GateKeeper.java",1384698869265
error,log,,,"Can't initialize AbstractMetricSource for Exterior.java",1384698869268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698908046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698909139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698916815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698919261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698920890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698933272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698942651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384698944092
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698945501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384698946275
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384698980428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384698985757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699035197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699035508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699075197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699075444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699081326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699081589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699083917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699107853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699108148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699109581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699110148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699149517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699149908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699151022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699151284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699161510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384699174854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699177152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699181743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384699183455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699185268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699281533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384699282868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699288885
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699293775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699319735
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384699325950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1384699341166
